RESULT FOR : Trace4

		Nb execution :	3
		Duration :	30000
		% of insertions :	0,9
		% of Blocks :	0,4
		Avg blockSize :	 20
		Sdv blockSize :	 3,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	20


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootSplitO	6353667	1067,706415	31360,216033333334	33930,49626666667	0,0
Treedoc	11817516	111,708383	6033,2519	3503,4613	0,0
RGA	17922830	1521,427377	1016548,206	2104,0504666666666	0,0
RgaS	3632872	1279,401961	875385,1634333333	986,6555666666667	0,0
RgaTreeSplit	3907806	55,788476	3375,9809333333333	1758,7817	0,0
RgaTreeSplitBalanced	3907830	48,474154	2671,7179666666666	1552,0269666666666	0,0
