RESULT FOR : Trace1

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 10
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1203499	45,898894	28057,58057142857	4910,028428571429	7572,6
LogootSplitO	810286	27,945195	2804,9657142857145	3949,0812857142855	7572,6
RGA	981660	43,663084	91180,051	515,1595714285714	7572,6
RGAF	690120	11,27894	1977,4902857142856	1554,477	7572,6
RgaS	627322	36,211885	73979,35657142857	483,444	7572,6
RgaTreeSplit	692159	7,133793	2335,0544285714286	933,3802857142857	7608,8
Treedoc	1586241	10,469644	2588,231142857143	1345,403142857143	7572,6
WootH	865651	49,579497	92200,46228571428	1335,164857142857	7572,6
