RESULT FOR : Trace2

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2275335	89,666653	35442,44857142857	11201,315428571428	21566,0
LogootSplitO	1158488	61,776208	5596,077285714286	8942,53657142857	21566,0
RGA	2752482	73,99949	145984,55985714286	1403,4081428571428	21566,0
RGAF	1930660	325,293036	7171,872285714286	49094,76085714286	21566,0
RgaS	802108	29,55222	56697,260571428575	615,1012857142857	21566,0
RgaTreeSplit	1018557	11,974747	5519,779285714286	1452,2757142857142	14688,8
Treedoc	3125639	24,359336	5740,048142857143	3256,750571428571	21566,0
WootH	2428527	91,658323	165568,37171428572	2851,361	21566,0
