RESULT FOR : Trace3

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 500
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2916474	120,010685	67897,70385714286	13377,448285714287	102843,2
LogootSplitO	1763390	169,040482	18271,154714285713	24512,15557142857	102896,0
RGA	12375305	234,545037	431919,45414285717	5420,528428571429	102896,0
RGAF	8676971	15224,952836	61445,323142857145	2315588,8007142856	102896,0
RgaS	1384810	61,923702	128586,50085714286	801,0924285714286	102896,0
RgaTreeSplit	1454725	13,714861	4740,2144285714285	1770,3618571428572	103333,2
Treedoc	7633847	88,761721	23764,935142857143	11691,305571428571	102789,7
WootH	11040564	329,886331	572896,732	9969,192571428572	102789,7
