RESULT FOR : Trace4

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 200
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2863538	112,457206	48985,13271428571	13476,137857142858	43202,7
LogootSplitO	1471879	98,16457	7267,368428571429	14444,454142857143	43202,7
RGA	5085984	130,123928	259954,73128571428	2290,064714285714	43202,7
RGAF	3567477	3565,923263	16027,70542857143	542416,8008571429	43202,7
RgaS	951665	52,136566	107496,926	692,1851428571429	43202,7
RgaTreeSplit	1048144	12,365309	3727,4882857142857	1620,962857142857	42489,0
Treedoc	4680493	44,735381	9899,232142857143	5806,7871428571425	43202,7
WootH	4541968	198,168797	377306,3075714286	4942,498142857143	43202,7
