RESULT FOR : Trace4

		Nb execution :	4
		Duration :	15000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	4801972	262,905641	80285,85	13223,884933333333	50917,7
LogootSplitO	2544813	237,048179	7132,758866666667	16215,724733333333	50917,7
RGA	6146455	478,785059	487120,20546666667	1544,4674	50917,7
RGAF	4311307	1392,939615	8977,0752	98440,04906666667	50917,7
RgaS	1721501	327,028039	336466,65653333336	772,7374666666667	50917,7
RgaTreeSplit	1891013	31,424367	4186,9820666666665	1939,4123333333334	50149,5
Treedoc	7800217	64,774411	6961,6672	4104,843933333334	50917,7
WootH	5436067	600,576514	588854,1000666667	3422,3450666666668	50917,7
