RESULT FOR : Trace2

		Nb execution :	4
		Duration :	4000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1012873	36,04185	23408,76325	7422,421	13086,2
LogootSplitO	576232	28,724664	4375,53125	7286,34225	13086,2
RGA	1673560	25,899127	83491,14225	1235,58925	13086,2
RGAF	1174753	63,583215	6636,529	16470,82725	13086,2
RgaS	456181	11,337283	31703,594	667,04475	13086,2
RgaTreeSplit	498918	5,038229	2975,9875	1136,83225	13064,3
Treedoc	1457511	10,717969	5064,419	2445,67725	13086,2
WootH	1497797	36,904202	105435,0705	2702,05175	13086,2
