RESULT FOR : Trace3

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2380690	93,979092	44047,01557142857	11257,353571428572	25550,3
LogootSplitO	1140679	75,577617	5317,665142857143	11125,422142857144	25549,2
RGA	3088145	114,063185	237558,4327142857	1506,5157142857142	25549,2
RGAF	2166623	436,921241	7787,446857142857	65906,315	25549,2
RgaS	832741	57,63209	119535,152	706,2927142857143	25549,2
RgaTreeSplit	896640	10,092899	3096,6684285714286	1318,3887142857143	25143,2
Treedoc	2731439	23,871759	5723,655428571428	3185,357285714286	25550,3
WootH	2739639	154,608688	300969,0805714286	3425,2542857142857	25549,2
