RESULT FOR : Trace5

		Nb execution :	4
		Duration :	30000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	10102784	1022,673493	257329,31513333332	19115,314033333332	108380,8
LogootSplitO	5343890	647,555283	16090,974633333333	21887,1485	108380,8
RGA	12524318	2218,202147	1159041,5402333334	1560,6893	108380,8
RGAF	8786670	5458,14399	13554,109133333333	193170,7991	108380,8
RgaS	3452555	1629,01541	856867,2297666667	784,9350666666667	108380,8
RgaTreeSplit	3749188	80,255178	4920,315966666667	2517,8000333333334	108408,1
Treedoc	12398102	120,713816	6442,290533333334	3802,1392333333333	108380,8
WootH	11134428	2539,771179	1299128,9401333334	3677,2701333333334	108380,8
