RESULT FOR : Trace2

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2016717	86,68636	43776,43742857143	10039,968571428572	22506,7
LogootSplitO	1080329	61,315677	4687,977714285715	9001,742714285714	22506,7
RGA	2895806	107,893044	225542,4502857143	1379,2824285714287	22506,7
RGAF	2031389	309,491072	7216,278285714286	46668,502714285714	22506,7
RgaS	810623	60,018523	125458,57485714286	699,5744285714286	22506,7
RgaTreeSplit	879020	11,046492	3775,8058571428573	1418,3954285714285	22367,5
Treedoc	3262299	25,899309	6224,706142857143	3323,915	22506,7
WootH	2561501	143,927916	281913,68314285716	3071,6187142857143	22506,7
