RESULT FOR : Trace4

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	100


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1547777	44,116575	23035,027857142857	5982,116571428572	20647,2
LogootSplitO	854872	43,168625	5232,720428571429	6245,399	20701,5
RGA	2670500	14,029285	88362,03771428572	1071,1032857142857	20693,1
RGAF	1874898	115,449812	10035,581714285714	16547,611857142856	20693,1
RgaS	772798	9,926736	78937,25785714286	620,7274285714286	20693,1
RgaTreeSplit	1154564	23,261004	13970,446142857143	3234,384285714286	12028,2
Treedoc	1981727	12,978013	5308,725	1835,2852857142857	20666,9
WootH	2384289	26,063169	83506,662	2359,3384285714287	20665,8
