RESULT FOR : Trace3

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	50


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1754506	57,669741	35770,73142857143	7657,7765714285715	26637,0
LogootSplitO	979780	61,402642	6241,754428571428	8889,927857142857	26615,0
RGA	2972050	35,452692	192225,00014285714	1313,925	26634,7
RGAF	2086898	149,597893	9909,13457142857	21640,208142857144	26634,7
RgaS	770922	22,764762	132141,02828571427	671,8705714285715	26634,7
RgaTreeSplit	881352	13,334689	7027,911285714285	1811,702	24113,4
Treedoc	2251827	17,569635	5214,323571428571	2456,597	26556,1
WootH	2677424	62,111277	259095,43385714287	3869,474857142857	26555,0
