RESULT FOR : Trace1

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	5


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2471637	122,657304	42268,32771428571	12203,908142857143	19713,1
LogootSplitO	1256178	57,740671	5028,620428571428	8597,455857142857	19714,0
RGA	3007871	209,480306	170907,01442857142	1263,0534285714286	19713,1
RGAF	2109622	782,749757	6315,132571428571	132673,78214285715	19713,1
RgaS	817097	81,630787	62124,15771428571	606,524	19713,1
RgaTreeSplit	892734	14,180498	3786,922857142857	1637,3818571428571	19713,1
Treedoc	3447514	33,208032	7015,716857142857	3999,4635714285714	19714,0
WootH	2651422	150,160728	120008,14128571429	1234,7577142857142	19714,0
