RESULT FOR : Trace2

		Nb execution :	3
		Duration :	10000
		% of insertions :	0,9
		% of Blocks :	0,7
		Avg blockSize :	 20
		Sdv blockSize :	 3,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	20


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootSplitO	2178224	221,045712	18737,3574	21291,9497	0,0
Treedoc	4374894	40,535152	6762,2092	3871,4077	0,0
RGA	9876617	462,533215	898259,4453	3638,0962	0,0
RgaS	1472355	143,285105	284298,9845	819,9639	0,0
RgaTreeSplit	1612676	14,876943	3116,4631	1398,488	0,0
RgaTreeSplitBalanced	1612700	14,037267	2875,8326	1293,0035	0,0
