Ins|y|0|{(2,1),}|2
Ins|k|0|{(0,1),}|0
Ins|c|0|{(2,2),}|2
del|2|0|{(0,2),(2,1),}|0
Ins|f|0|{(3,1),}|3
Ins|z|0|{(3,2),}|3
Ins|y|1|{(0,1),(1,1),(2,2),}|1
del|1|1|{(2,3),}|2
Ins|j|0|{(0,1),(2,4),}|2
Ins|t|4|{(0,1),(1,1),(2,5),(3,1),}|2
Ins|b|0|{(0,1),(2,3),(4,1),}|4
Ins|y|3|{(0,2),(1,1),(2,3),(3,2),(4,2),}|4
del|5|1|{(0,2),(1,2),(2,5),(3,2),}|1
del|1|0|{(0,3),(2,2),(3,2),}|0
Ins|i|1|{(0,2),(1,1),(2,6),(3,2),}|2
del|1|0|{(0,4),(1,1),(2,5),(3,2),}|0
Ins|i|0|{(0,5),(1,1),(2,5),(3,2),(4,2),}|0
Ins|l|4|{(0,3),(1,1),(2,7),(3,2),(4,2),}|2
Ins|r|2|{(0,6),(1,2),(2,5),(3,2),(4,2),}|0
Ins|m|4|{(0,5),(1,2),(2,8),(3,2),(4,2),}|2
Ins|r|2|{(0,6),(1,2),(2,9),(3,2),(4,2),}|2
Ins|e|4|{(0,6),(1,2),(2,10),(3,2),(4,2),}|2
Ins|h|2|{(0,6),(1,2),(2,11),(3,2),(4,2),}|2
del|1|0|{(0,6),(1,3),(2,7),(3,2),(4,2),}|1
Ins|a|4|{(0,6),(1,4),(2,8),(3,2),(4,2),}|1
Ins|r|3|{(0,7),(1,2),(2,10),(3,2),(4,2),}|0
del|1|6|{(0,6),(1,2),(2,8),(3,3),(4,2),}|3
Ins|o|6|{(0,8),(1,3),(2,11),(3,2),(4,2),}|0
Ins|rgnhlediqnenvgrqerwdqwvdnsaymszyuxsgrvnvsiaz|1|{(0,6),(1,3),(2,12),(3,2),(4,2),}|2
Ins|d|34|{(0,6),(1,4),(2,13),(3,2),(4,2),}|2
Ins|t|2|{(0,6),(1,4),(2,11),(3,2),(4,3),}|4
Ins|l|48|{(0,7),(1,4),(2,14),(3,3),(4,2),}|2
Ins|x|45|{(0,8),(1,5),(2,13),(3,3),(4,3),}|1
Ins|s|23|{(0,9),(1,4),(2,13),(3,3),(4,3),}|0
Ins|y|34|{(0,8),(1,4),(2,14),(3,4),(4,3),}|3
del|1|57|{(0,8),(1,5),(2,13),(3,3),(4,4),}|4
del|2|58|{(0,10),(1,5),(2,14),(3,3),(4,3),}|0
del|1|55|{(0,8),(1,5),(2,14),(3,3),(4,5),}|4
del|1|10|{(0,9),(1,6),(2,14),(3,3),(4,4),}|1
Ins|w|49|{(0,9),(1,5),(2,14),(3,3),(4,6),}|4
del|1|28|{(0,10),(1,5),(2,15),(3,4),(4,5),}|2
Ins|b|28|{(0,10),(1,5),(2,15),(3,4),(4,7),}|4
Ins|n|27|{(0,9),(1,7),(2,14),(3,4),(4,5),}|1
Ins|b|44|{(0,10),(1,8),(2,15),(3,4),(4,5),}|1
Ins|j|13|{(0,10),(1,9),(2,15),(3,4),(4,5),}|1
Ins|g|26|{(0,10),(1,7),(2,15),(3,4),(4,8),}|4
Ins|h|48|{(0,10),(1,7),(2,16),(3,4),(4,7),}|2
Ins|e|5|{(0,10),(1,10),(2,15),(3,4),(4,6),}|1
del|1|0|{(0,10),(1,6),(2,15),(3,5),(4,7),}|3
del|1|20|{(0,10),(1,11),(2,15),(3,4),(4,6),}|1
del|31|30|{(0,10),(1,8),(2,15),(3,4),(4,9),}|4
Ins|q|6|{(0,11),(1,8),(2,15),(3,4),(4,7),}|0
Ins|u|4|{(0,10),(1,9),(2,15),(3,6),(4,7),}|3
Ins|r|17|{(0,10),(1,8),(2,15),(3,4),(4,10),}|4
Ins|f|32|{(0,12),(1,8),(2,15),(3,4),(4,7),}|0
del|1|20|{(0,10),(1,8),(2,15),(3,4),(4,11),}|4
Ins|u|43|{(0,13),(1,8),(2,16),(3,4),(4,7),}|0
Ins|r|18|{(0,10),(1,11),(2,17),(3,5),(4,9),}|2
Ins|j|20|{(0,10),(1,11),(2,16),(3,5),(4,12),}|4
del|1|25|{(0,11),(1,12),(2,16),(3,6),(4,10),}|1
del|1|4|{(0,14),(1,11),(2,16),(3,6),(4,12),}|0
Ins|n|2|{(0,11),(1,13),(2,16),(3,6),(4,12),}|1
Ins|u|24|{(0,13),(1,14),(2,17),(3,6),(4,12),}|1
Ins|x|22|{(0,15),(1,13),(2,17),(3,6),(4,12),}|0
Ins|h|4|{(0,13),(1,15),(2,17),(3,6),(4,12),}|1
Ins|f|9|{(0,13),(1,13),(2,16),(3,7),(4,12),}|3
del|1|8|{(0,13),(1,13),(2,17),(3,8),(4,12),}|3
Ins|v|23|{(0,14),(1,15),(2,18),(3,8),(4,12),}|2
Ins|n|9|{(0,16),(1,15),(2,17),(3,8),(4,12),}|0
Ins|x|38|{(0,15),(1,15),(2,19),(3,8),(4,12),}|2
Ins|g|0|{(0,15),(1,16),(2,17),(3,8),(4,12),}|1
Ins|v|11|{(0,15),(1,15),(2,20),(3,8),(4,12),}|2
del|1|3|{(0,15),(1,17),(2,17),(3,8),(4,12),}|1
Ins|i|24|{(0,15),(1,15),(2,17),(3,8),(4,13),}|4
del|1|25|{(0,15),(1,18),(2,18),(3,8),(4,12),}|1
Ins|z|34|{(0,15),(1,15),(2,21),(3,8),(4,12),}|2
del|1|25|{(0,16),(1,19),(2,19),(3,8),(4,12),}|1
Ins|f|8|{(0,16),(1,17),(2,19),(3,8),(4,14),}|4
Ins|i|20|{(0,16),(1,19),(2,21),(3,9),(4,14),}|3
Ins|n|27|{(0,16),(1,19),(2,22),(3,8),(4,14),}|2
Ins|x|23|{(0,16),(1,19),(2,23),(3,8),(4,14),}|2
Ins|t|19|{(0,16),(1,19),(2,24),(3,8),(4,14),}|2
del|1|38|{(0,16),(1,19),(2,25),(3,9),(4,14),}|2
del|1|31|{(0,16),(1,19),(2,26),(3,9),(4,14),}|2
Ins|m|14|{(0,16),(1,19),(2,24),(3,10),(4,14),}|3
Ins|g|12|{(0,16),(1,20),(2,25),(3,9),(4,14),}|1
del|1|6|{(0,16),(1,19),(2,27),(3,9),(4,14),}|2
Ins|calzdeauqpvsaxpzglwdpoeuariwdgeur|40|{(0,17),(1,19),(2,26),(3,10),(4,14),}|0
Ins|k|41|{(0,16),(1,19),(2,26),(3,9),(4,15),}|4
Ins|a|17|{(0,16),(1,19),(2,26),(3,9),(4,16),}|4
Ins|o|40|{(0,16),(1,19),(2,28),(3,9),(4,14),}|2
Ins|o|12|{(0,16),(1,19),(2,26),(3,11),(4,14),}|3
Ins|b|8|{(0,16),(1,21),(2,26),(3,10),(4,14),}|1
del|1|22|{(0,18),(1,19),(2,26),(3,10),(4,14),}|0
Ins|qvtybmqxajvvswgqhpetkallssauzk|44|{(0,19),(1,20),(2,28),(3,10),(4,16),}|0
del|1|11|{(0,17),(1,22),(2,28),(3,11),(4,16),}|1
Ins|z|74|{(0,17),(1,20),(2,27),(3,12),(4,16),}|3
Ins|f|85|{(0,20),(1,20),(2,28),(3,10),(4,16),}|0
Ins|shrwtdusrnjxhequmqkgherdnvacyxijktjwvxoeb|3|{(0,17),(1,23),(2,28),(3,11),(4,16),}|1
Ins|q|62|{(0,18),(1,21),(2,29),(3,11),(4,16),}|2
Ins|s|63|{(0,19),(1,21),(2,28),(3,13),(4,16),}|3
Ins|x|54|{(0,20),(1,22),(2,28),(3,14),(4,16),}|3
Ins|o|84|{(0,20),(1,23),(2,28),(3,12),(4,17),}|4
Ins|cyvhmxmqocwinatlzchcodocohxijhyfoifkuao|132|{(0,21),(1,23),(2,28),(3,13),(4,16),}|0
Ins|y|103|{(0,22),(1,23),(2,28),(3,13),(4,16),}|0
Ins|g|76|{(0,20),(1,23),(2,30),(3,12),(4,16),}|2
Ins|p|100|{(0,20),(1,24),(2,29),(3,14),(4,16),}|1
Ins|f|26|{(0,22),(1,23),(2,30),(3,14),(4,18),}|4
Ins|q|53|{(0,22),(1,25),(2,30),(3,14),(4,17),}|1
Ins|q|146|{(0,22),(1,23),(2,31),(3,14),(4,17),}|2
Ins|b|160|{(0,22),(1,24),(2,30),(3,14),(4,19),}|4
Ins|nowlhdorfzbluhjcuamxtcobujznkq|102|{(0,22),(1,26),(2,30),(3,14),(4,18),}|1
del|1|142|{(0,22),(1,24),(2,30),(3,14),(4,20),}|4
del|28|41|{(0,22),(1,25),(2,32),(3,14),(4,18),}|2
Ins|c|171|{(0,22),(1,26),(2,33),(3,14),(4,20),}|2
Ins|c|71|{(0,22),(1,25),(2,31),(3,14),(4,21),}|4
Ins|y|165|{(0,22),(1,26),(2,32),(3,15),(4,20),}|3
del|1|65|{(0,22),(1,26),(2,32),(3,16),(4,20),}|3
