RESULT FOR : Trace4

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,99
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1831482	89,855389	55646,80314285714	9723,848142857143	38024,2
LogootSplitO	1145080	56,376225	6607,232285714285	8001,089	38024,2
RGA	2970665	133,394774	283103,853	1401,817142857143	38024,2
RGAF	2093608	237,622805	7809,313428571429	35625,231714285714	38024,2
RgaS	733632	62,141827	130787,15085714286	648,3792857142857	38024,2
RgaTreeSplit	791817	11,165359	3365,1402857142857	1457,807857142857	38024,2
Treedoc	1542654	14,102056	3307,9105714285715	1808,2521428571429	38024,2
WootH	2907381	173,085486	340189,8931428571	3644,300714285714	38024,2
