RESULT FOR : Trace2

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	2233581	88,032683	43229,472285714284	10410,807857142858	24838,5
LogootSplitO	1129953	88,861902	5411,313714285714	12956,335	24838,5
RGA	2861771	98,942809	204481,78085714285	1382,1901428571427	24838,5
RGAF	2008930	329,302295	7057,283571428571	49644,073142857145	24838,5
RgaS	785569	51,157524	105977,4	655,4548571428571	24838,5
RgaTreeSplit	870884	10,645088	3394,976	1380,8385714285714	24013,5
Treedoc	2643854	22,750637	5270,128428571428	3017,0071428571428	24838,5
WootH	2571324	135,430235	262401,62842857145	3112,574857142857	24838,5
