RESULT FOR : Trace3

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,95
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1879753	92,376833	51348,55428571429	10411,089714285714	36575,1
LogootSplitO	1104797	58,266826	7409,8607142857145	8135,854857142857	36575,1
RGA	2920076	116,497218	246220,23985714285	1297,821	36575,1
RGAF	2057249	394,929293	8217,859857142857	59588,760285714285	36575,1
RgaS	723317	50,447588	105400,80857142857	578,5688571428572	36575,1
RgaTreeSplit	814104	10,790576	3384,0001428571427	1419,9412857142856	35047,0
Treedoc	1588461	15,438451	3435,391857142857	2063,4605714285713	36575,1
WootH	2837083	162,731759	321904,95585714286	3285,5741428571428	36575,1
