RESULT FOR : Trace1

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,5
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	3761140	94,662481	24249,95357142857	12712,381285714286	2333,1
LogootSplitO	1172040	57,042848	2744,1952857142855	8303,350571428571	2333,1
RGA	2616315	61,689524	123090,74242857142	1147,0665714285715	2331,0
RGAF	1822853	187,334277	4957,955285714285	28158,063285714285	2331,0
RgaS	930883	32,805037	63104,703285714284	676,2877142857143	2331,0
RgaTreeSplit	1045581	8,356238	2930,4135714285712	1059,2444285714287	2076,5
Treedoc	7301319	57,493591	13102,965714285714	7741,236	2334,1
WootH	1951199	84,542782	151829,36914285715	2663,793142857143	2334,1
