RESULT FOR : Trace2

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,2
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith	Total execution time	Average local execution time	Average remote execution time	Memory
LogootS	3814953	117,301186	46173,278	14724,395714285714	80308,7
LogootSplitO	1846362	182,022522	18655,33042857143	26430,687857142857	80308,7
RGA	9956930	140,234266	244676,93471428572	5006,235857142857	80308,7
RGAF	6986311	7980,291658	24313,742142857143	1214918,7964285715	80308,7
RgaS	1248387	23,103212	41478,88214285715	702,02	80308,7
RgaTreeSplit	1615176	12,990985	6592,324428571428	1539,2901428571429	43632,9
Treedoc	7851319	72,27794	14317,988142857143	9729,136285714285	80367,6
WootH	8846249	235,860901	409736,1697142857	8567,576142857142	80367,6
