RESULT FOR : Trace2

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,05
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	1904677	77,638385	41150,04485714286	8925,608428571428	27446,3
LogootSplitO	1133230	65,316492	5119,043571428571	9580,458714285714	27446,3
RGA	3004589	116,317053	245184,59785714286	1326,7797142857144	27447,3
RGAF	2110107	230,248061	7272,808285714285	34632,54485714286	27447,3
RgaS	788155	67,193057	140598,90485714286	712,1084285714286	27447,3
RgaTreeSplit	857132	10,75592	3456,145857142857	1398,434	27443,1
Treedoc	2820412	23,086266	5763,783	3075,925142857143	27447,3
WootH	2727322	150,910814	296828,93842857145	3131,571142857143	27447,3
