RESULT FOR : Trace4

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	1,0
		Avg blockSize :	 100
		Sdv blockSize :	 20,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith (o)	Total execution time (ms)	Average local execution time (ns)	Average remote execution time (ns)	Memory (o)
LogootS	6418733	139,84267	90679,04685714285	15243,492	405128,3
LogootSplitO	4088886	786,841664	88271,28485714286	113760,95614285715	405143,2
RGA	48911392	876,490247	1460176,9675714285	20320,031714285713	405085,4
RGAF	34324376	46551,724999	121292,39785714286	7126800,647571429	405085,4
RgaS	3505760	48,681645	98666,844	801,2352857142857	405085,4
RgaTreeSplit	3850474	12,985596	6483,3402857142855	1537,305	282851,6
Treedoc	32176331	293,782697	60576,013	36976,570857142855	405143,2
WootH	43619850	1121,8329	1864988,6567142857	36736,063428571426	405143,2
