RESULT FOR : Trace1

		Nb execution :	4
		Duration :	7000
		% of insertions :	0,8
		% of Blocks :	0,0
		Avg blockSize :	 0
		Sdv blockSize :	 0,0
		Probability :	1,0
		Delay :	1
		Sdv :	1,0
		Number of replicas :	15


Name	Bandwith	Total execution time	Average local execution time	Average remote execution time	Memory
LogootS	521707	17,74824	12329,761857142857	1764,0705714285714	3998,6
LogootSplitO	586874	18,173244	1982,8922857142857	2399,556	3998,7
RGA	491933	22,179291	40710,12171428571	338,88271428571426	3999,7
RGAF	345129	5,603086	1369,9237142857144	741,7302857142857	3999,7
RgaS	529691	22,088124	44163,49185714286	327,929	3999,7
RgaTreeSplit	585718	5,160589	1799,8564285714285	661,2975714285715	4001,7
Treedoc	1358654	7,460276	2017,2568571428571	951,2335714285714	3998,6
WootH	437443	23,398688	37124,364714285715	862,7972857142857	3998,6
